nazwa,komenda
gwint_card_mahakam5,additem('gwint_card_mahakam5')
gwint_card_elf_skirmisher3,additem('gwint_card_elf_skirmisher3')
gwint_card_vrihedd_cadet,additem('gwint_card_vrihedd_cadet')
gwint_card_dol_archer,additem('gwint_card_dol_archer')
gwint_card_havekar_nurse,additem('gwint_card_havekar_nurse')
gwint_card_havekar_nurse2,additem('gwint_card_havekar_nurse2')
gwint_card_havekar_nurse3,additem('gwint_card_havekar_nurse3')
gwint_card_schirru,additem('gwint_card_schirru')
gwint_card_draug,additem('gwint_card_draug')
gwint_card_kayran,additem('gwint_card_kayran')
gwint_card_imlerith,additem('gwint_card_imlerith')
gwint_card_leshen,additem('gwint_card_leshen')
gwint_card_forktail,additem('gwint_card_forktail')
gwint_card_earth_elemental,additem('gwint_card_earth_elemental')
gwint_card_fiend,additem('gwint_card_fiend')
gwint_card_plague_maiden,additem('gwint_card_plague_maiden')
gwint_card_griffin,additem('gwint_card_griffin')
gwint_card_werewolf,additem('gwint_card_werewolf')
gwint_card_botchling,additem('gwint_card_botchling')
gwint_card_frightener,additem('gwint_card_frightener')
gwint_card_endrega,additem('gwint_card_endrega')
gwint_card_harpy,additem('gwint_card_harpy')
gwint_card_cockatrice,additem('gwint_card_cockatrice')
gwint_card_gargoyle,additem('gwint_card_gargoyle')
gwint_card_celaeno_harpy,additem('gwint_card_celaeno_harpy')
gwint_card_grave_hag,additem('gwint_card_grave_hag')
gwint_card_fire_elemental,additem('gwint_card_fire_elemental')
gwint_card_fogling,additem('gwint_card_fogling')
gwint_card_wyvern,additem('gwint_card_wyvern')
gwint_card_arachas_behemoth,additem('gwint_card_arachas_behemoth')
gwint_card_arachas,additem('gwint_card_arachas')
gwint_card_arachas2,additem('gwint_card_arachas2')
gwint_card_arachas3,additem('gwint_card_arachas3')
gwint_card_nekker,additem('gwint_card_nekker')
gwint_card_nekker2,additem('gwint_card_nekker2')
gwint_card_nekker3,additem('gwint_card_nekker3')
gwint_card_ekkima,additem('gwint_card_ekkima')
gwint_card_garkain,additem('gwint_card_garkain')
gwint_card_bruxa,additem('gwint_card_bruxa')
gwint_card_katakan,additem('gwint_card_katakan')
gwint_card_ghoul,additem('gwint_card_ghoul')
gwint_card_ghoul2,additem('gwint_card_ghoul2')
gwint_card_ghoul3,additem('gwint_card_ghoul3')
gwint_card_hjalmar,additem('gwint_card_hjalmar')
gwint_card_cerys,additem('gwint_card_cerys')
gwint_card_ermion,additem('gwint_card_ermion')
gwint_card_draig,additem('gwint_card_draig')
gwint_card_holger_blackhand,additem('gwint_card_holger_blackhand')
gwint_card_madman_lugos,additem('gwint_card_madman_lugos')
gwint_card_donar_an_hindar,additem('gwint_card_donar_an_hindar')
gwint_card_udalryk,additem('gwint_card_udalryk')
gwint_card_birna_bran,additem('gwint_card_birna_bran')
gwint_card_blueboy_lugos,additem('gwint_card_blueboy_lugos')
gwint_card_svanrige,additem('gwint_card_svanrige')
gwint_card_olaf,additem('gwint_card_olaf')
gwint_card_berserker,additem('gwint_card_berserker')
gwint_card_young_berserker,additem('gwint_card_young_berserker')
gwint_card_clan_tordarroch_armorsmith,additem('gwint_card_clan_tordarroch_armorsmith')
gwint_card_clan_heymaey_skald,additem('gwint_card_clan_heymaey_skald')
gwint_card_light_drakkar,additem('gwint_card_light_drakkar')
gwint_card_clan_drummond_shieldmaiden3,additem('gwint_card_clan_drummond_shieldmaiden3')
gwint_card_clan_dimun_pirate,additem('gwint_card_clan_dimun_pirate')
gwint_card_cock,additem('gwint_card_cock')
gwint_card_geralt,additem('gwint_card_geralt')
gwint_card_vesemir,additem('gwint_card_vesemir')
gwint_card_yennefer,additem('gwint_card_yennefer')
gwint_card_ciri,additem('gwint_card_ciri')
gwint_card_dandelion,additem('gwint_card_dandelion')
gwint_card_zoltan,additem('gwint_card_zoltan')
gwint_card_emiel,additem('gwint_card_emiel')
gwint_card_villen,additem('gwint_card_villen')
gwint_card_olgierd,additem('gwint_card_olgierd')
gwint_card_mrmirror,additem('gwint_card_mrmirror')
gwint_card_mrmirror_foglet,additem('gwint_card_mrmirror_foglet')
gwint_card_cow,additem('gwint_card_cow')
gwint_card_dummy,additem('gwint_card_dummy')
gwint_card_horn,additem('gwint_card_horn')
gwint_card_scorch,additem('gwint_card_scorch')
gwint_card_frost,additem('gwint_card_frost')
gwint_card_fog,additem('gwint_card_fog')
gwint_card_clear_sky,additem('gwint_card_clear_sky')
gwint_card_mushroom,additem('gwint_card_mushroom')
gwint_card_skellige_storm,additem('gwint_card_skellige_storm')
Tracking Bolt,additem('Tracking Bolt')
Target Point Bolt,additem('Target Point Bolt')
Explosive Bolt,additem('Explosive Bolt')
Blunt Bolt Legendary,additem('Blunt Bolt Legendary')
Broadhead Bolt Legendary,additem('Broadhead Bolt Legendary')
Target Point Bolt Legendary,additem('Target Point Bolt Legendary')
Split Bolt Legendary,additem('Split Bolt Legendary')
Explosive Bolt Legendary,additem('Explosive Bolt Legendary')
Autogen silver sword,additem('Autogen silver sword')
Autogen Pants,additem('Autogen Pants')
Autogen Gloves,additem('Autogen Gloves')
Autogen Boots,additem('Autogen Boots')
Autogen Armor,additem('Autogen Armor')
White Honey 3,additem('White Honey 3')
Blizzard 3,additem('Blizzard 3')
White Raffards Decoction 3,additem('White Raffards Decoction 3')
Cat 3,additem('Cat 3')
Swallow 3,additem('Swallow 3')
Black Blood 3,additem('Black Blood 3')
Maribor Forest 3,additem('Maribor Forest 3')
White Frost 3,additem('White Frost 3')
Devils Puffball 3,additem('Devils Puffball 3')
Dancing Star 3,additem('Dancing Star 3')
Dragons Dream 3,additem('Dragons Dream 3')
Gloves 01,additem('Gloves 01')
Pants 01,additem('Pants 01')
vivaldis_bill_of_exchange,additem('vivaldis_bill_of_exchange')
Florens,additem('Florens')
Tawny Owl 1,additem('Tawny Owl 1')
Bottled water,additem('Bottled water')
Witcher Silver Sword,additem('Witcher Silver Sword')
Starting Gloves,additem('Starting Gloves')
Starting Pants,additem('Starting Pants')
Starting Boots,additem('Starting Boots')
Starting Armor,additem('Starting Armor')
Celandine,additem('Celandine')
Berbercane fruit,additem('Berbercane fruit')
Hellebore petals,additem('Hellebore petals')
Cortinarius,additem('Cortinarius')
Saltpetre,additem('Saltpetre')
Calcium equum,additem('Calcium equum')
Blowbill,additem('Blowbill')
Egg,additem('Egg')
Fiber,additem('Fiber')
Sap,additem('Sap')
Resin,additem('Resin')
Wax,additem('Wax')
Lead ore,additem('Lead ore')
Gold mineral,additem('Gold mineral')
Nails,additem('Nails')
Iron ingot,additem('Iron ingot')
Wire,additem('Wire')
Silver mineral,additem('Silver mineral')
Parchment,additem('Parchment')
Amber,additem('Amber')
Amber fossil,additem('Amber fossil')
Gold ore,additem('Gold ore')
Wire rope,additem('Wire rope')
Silver plate,additem('Silver plate')
Medium armor 11,additem('Medium armor 11')
Ekimma mutagen,additem('Ekimma mutagen')
Fogling 1 mutagen,additem('Fogling 1 mutagen')
Doppler mutagen,additem('Doppler mutagen')
No Mans Land sword 3 schematic,additem('No Mans Land sword 3 schematic')
Recipe for Vermilion,additem('Recipe for Vermilion')
Scoiatael sword 2 schematic,additem('Scoiatael sword 2 schematic')
Scoiatael sword 3 schematic,additem('Scoiatael sword 3 schematic')
Recipe for Rubedo,additem('Recipe for Rubedo')
Recipe for Rebis,additem('Recipe for Rebis')
Novigraadan sword 1 schematic,additem('Novigraadan sword 1 schematic')
Novigraadan sword 4 schematic,additem('Novigraadan sword 4 schematic')
weapon_repair_kit_3,additem('weapon_repair_kit_3')
armor_repair_kit_3,additem('armor_repair_kit_3')
Short Steel Sword,additem('Short Steel Sword')
Spear 2,additem('Spear 2')
Apple,additem('Apple')
Kaedwenian Stout,additem('Kaedwenian Stout')
Hjalmar_Short_Steel_Sword,additem('Hjalmar_Short_Steel_Sword')
Rusty No Mans Land sword,additem('Rusty No Mans Land sword')
Inquisitor sword 2,additem('Inquisitor sword 2')
Gnomish sword 2,additem('Gnomish sword 2')
an_skellige_map,additem('an_skellige_map')
ard_skellige_map,additem('ard_skellige_map')
faroe_map,additem('faroe_map')
hindarsfjal_map,additem('hindarsfjal_map')
undvik_map,additem('undvik_map')
spikeroog_map,additem('spikeroog_map')
Katakan mutagen,additem('Katakan mutagen')
Verbena,additem('Verbena')
Arenaria,additem('Arenaria')
Longrube,additem('Longrube')
Arachas mutagen,additem('Arachas mutagen')
White myrtle,additem('White myrtle')
Han,additem('Han')
Nostrix,additem('Nostrix')
Cockatrice mutagen,additem('Cockatrice mutagen')
Pringrape,additem('Pringrape')
Volcanic Gryphon mutagen,additem('Volcanic Gryphon mutagen')
Ribleaf,additem('Ribleaf')
Ergot seeds,additem('Ergot seeds')
Water Hag mutagen,additem('Water Hag mutagen')
Bloodmoss,additem('Bloodmoss')
Green mold,additem('Green mold')
Flowers,additem('Flowers')
q103_bell,additem('q103_bell')
Samum 1,additem('Samum 1')
Dancing Star 1,additem('Dancing Star 1')
Devils Puffball 1,additem('Devils Puffball 1')
Dragons Dream 2,additem('Dragons Dream 2')
White Frost 1,additem('White Frost 1')
Grapeshot 1,additem('Grapeshot 1')
Infused shard,additem('Infused shard')
Heavy Boots 2 schematic,additem('Heavy Boots 2 schematic')
Heavy Boots 1 schematic,additem('Heavy Boots 1 schematic')
Pants 1 schematic,additem('Pants 1 schematic')
Heavy Pants 2 schematic,additem('Heavy Pants 2 schematic')
Short sword 1,additem('Short sword 1')
Short sword 2,additem('Short sword 2')
Dwarven sword 1,additem('Dwarven sword 1')
Dwarven sword 2,additem('Dwarven sword 2')
Gnomish sword 1,additem('Gnomish sword 1')
Inquisitor sword 1,additem('Inquisitor sword 1')
No Mans Land sword 1,additem('No Mans Land sword 1')
No Mans Land sword 1 q2,additem('No Mans Land sword 1 q2')
Rusty Nilfgaardian sword,additem('Rusty Nilfgaardian sword')
Nilfgaardian sword 1,additem('Nilfgaardian sword 1')
Nilfgaardian sword 4,additem('Nilfgaardian sword 4')
Rusty Novigraadan sword,additem('Rusty Novigraadan sword')
Novigraadan sword 1,additem('Novigraadan sword 1')
Novigraadan sword 3,additem('Novigraadan sword 3')
Novigraadan sword 4,additem('Novigraadan sword 4')
Scoiatael sword 2,additem('Scoiatael sword 2')
Scoiatael sword 3,additem('Scoiatael sword 3')
Rusty Skellige sword,additem('Rusty Skellige sword')
Skellige sword 1,additem('Skellige sword 1')
Skellige sword 4,additem('Skellige sword 4')
Wild Hunt sword 1,additem('Wild Hunt sword 1')
Wild Hunt sword 2,additem('Wild Hunt sword 2')
Wild Hunt sword 3,additem('Wild Hunt sword 3')
Wild Hunt sword 4,additem('Wild Hunt sword 4')
Wolf Armor,additem('Wolf Armor')
Wolf Armor 1,additem('Wolf Armor 1')
Wolf Armor 2,additem('Wolf Armor 2')
Wolf Armor 3,additem('Wolf Armor 3')
Wolf Gloves 1,additem('Wolf Gloves 1')
Wolf Gloves 2,additem('Wolf Gloves 2')
Wolf Pants 1,additem('Wolf Pants 1')
Wolf Pants 2,additem('Wolf Pants 2')
Wolf Boots 1,additem('Wolf Boots 1')
Wolf Boots 2,additem('Wolf Boots 2')
Wolf School steel sword,additem('Wolf School steel sword')
Wolf School steel sword 1,additem('Wolf School steel sword 1')
Wolf School steel sword 2,additem('Wolf School steel sword 2')
Wolf School steel sword 3,additem('Wolf School steel sword 3')
Wolf School silver sword,additem('Wolf School silver sword')
Wolf School silver sword 1,additem('Wolf School silver sword 1')
Wolf School silver sword 2,additem('Wolf School silver sword 2')
Wolf School silver sword 3,additem('Wolf School silver sword 3')
Silver sword 6,additem('Silver sword 6')
Silver sword 7,additem('Silver sword 7')
Silver sword 8,additem('Silver sword 8')
Dwarven silver sword 1,additem('Dwarven silver sword 1')
Dwarven silver sword 2,additem('Dwarven silver sword 2')
Elven silver sword 1,additem('Elven silver sword 1')
Elven silver sword 2,additem('Elven silver sword 2')
Gnomish silver sword 1,additem('Gnomish silver sword 1')
Gnomish silver sword 2,additem('Gnomish silver sword 2')
Crossbow 1,additem('Crossbow 1')
Crossbow q206,additem('Crossbow q206')
Crossbow 2,additem('Crossbow 2')
Crossbow 3,additem('Crossbow 3')
Crossbow 4,additem('Crossbow 4')
Crossbow 6,additem('Crossbow 6')
Crossbow 7,additem('Crossbow 7')
Lynx School Crossbow,additem('Lynx School Crossbow')
Bear School Crossbow,additem('Bear School Crossbow')
Nilfgaardian crossbow,additem('Nilfgaardian crossbow')
Heavy armor 03,additem('Heavy armor 03')
Heavy armor 04,additem('Heavy armor 04')
Heavy armor 05,additem('Heavy armor 05')
Light armor 02,additem('Light armor 02')
Light armor 03,additem('Light armor 03')
Light armor 04,additem('Light armor 04')
Light armor 06,additem('Light armor 06')
Light armor 07,additem('Light armor 07')
Light armor 08,additem('Light armor 08')
Light armor 09,additem('Light armor 09')
Medium armor 01,additem('Medium armor 01')
Medium armor 02,additem('Medium armor 02')
Medium armor 03,additem('Medium armor 03')
Medium armor 04,additem('Medium armor 04')
Medium armor 05,additem('Medium armor 05')
Medium armor 07,additem('Medium armor 07')
Medium armor 10,additem('Medium armor 10')
Nilfgaardian Casual Suit 01,additem('Nilfgaardian Casual Suit 01')
Nilfgaardian Casual Suit 02,additem('Nilfgaardian Casual Suit 02')
Nilfgaardian Casual Suit 03,additem('Nilfgaardian Casual Suit 03')
Skellige Casual Suit 01,additem('Skellige Casual Suit 01')
Skellige Casual Suit 02,additem('Skellige Casual Suit 02')
Geralt Shirt No Knife,additem('Geralt Shirt No Knife')
sq108_heavy_armor,additem('sq108_heavy_armor')
Pants 01 q2,additem('Pants 01 q2')
Pants 03,additem('Pants 03')
Pants 04,additem('Pants 04')
Heavy pants 03,additem('Heavy pants 03')
Heavy pants 04,additem('Heavy pants 04')
Nilfgaardian Casual Pants,additem('Nilfgaardian Casual Pants')
Skellige Casual Pants 01,additem('Skellige Casual Pants 01')
Skellige Casual Pants 02,additem('Skellige Casual Pants 02')
Bath Towel Pants 01,additem('Bath Towel Pants 01')
Ciri pants 01,additem('Ciri pants 01')
Wild Hunt pants 01,additem('Wild Hunt pants 01')
Boots 01 q2,additem('Boots 01 q2')
Boots 02,additem('Boots 02')
Boots 03,additem('Boots 03')
Heavy boots 03,additem('Heavy boots 03')
Heavy boots 04,additem('Heavy boots 04')
Nilfgaardian casual shoes,additem('Nilfgaardian casual shoes')
Skellige casual shoes,additem('Skellige casual shoes')
Radovid boots 01,additem('Radovid boots 01')
Gloves 01 q2,additem('Gloves 01 q2')
Gloves 02,additem('Gloves 02')
Gloves 03,additem('Gloves 03')
Heavy gloves 03,additem('Heavy gloves 03')
Heavy gloves 04,additem('Heavy gloves 04')
Wild Hunt gloves 01,additem('Wild Hunt gloves 01')
Wild Hunt,additem('Wild Hunt')
Horse vol 1,additem('Horse vol 1')
Horse vol 2,additem('Horse vol 2')
Boat vol 1,additem('Boat vol 1')
Boat vol 2,additem('Boat vol 2')
Gear improvement,additem('Gear improvement')
Theatre Glossary vol 2,additem('Theatre Glossary vol 2')
Jacob of Varazze Chronicles,additem('Jacob of Varazze Chronicles')
Poems of Gonzal de Verceo,additem('Poems of Gonzal de Verceo')
Book of Arachases,additem('Book of Arachases')
Glossary Temerian Dynasty,additem('Glossary Temerian Dynasty')
Orders from Shilard,additem('Orders from Shilard')
Journey into the mind,additem('Journey into the mind')
Necronomicon,additem('Necronomicon')
lore_imperial_edict_i,additem('lore_imperial_edict_i')
lore_imperial_edict_ii,additem('lore_imperial_edict_ii')
lore_nilfgaardian_royal_dynasty,additem('lore_nilfgaardian_royal_dynasty')
lore_nilfgaardian_history_book,additem('lore_nilfgaardian_history_book')
lore_nilfgaardian_empire,additem('lore_nilfgaardian_empire')
lore_lodge_of_sorceresses,additem('lore_lodge_of_sorceresses')
lore_third_war_with_nilfgaard,additem('lore_third_war_with_nilfgaard')
lore_wars_with_nilfgaard,additem('lore_wars_with_nilfgaard')
lore_novigrad,additem('lore_novigrad')
lore_skellige_island,additem('lore_skellige_island')
lore_skellige_heroes_sove,additem('lore_skellige_heroes_sove')
lore_skellige_heroes_tyr,additem('lore_skellige_heroes_tyr')
lore_skellige_heroes_otkell,additem('lore_skellige_heroes_otkell')
lore_skellige_heroes_modolf,additem('lore_skellige_heroes_modolf')
lore_skellige_heroes_broddr,additem('lore_skellige_heroes_broddr')
lore_skellige_heroes_grymmdjarr,additem('lore_skellige_heroes_grymmdjarr')
lore_oxenfurt,additem('lore_oxenfurt')
lore_velen,additem('lore_velen')
lore_fate_of_temeria,additem('lore_fate_of_temeria')
lore_fall_of_wyzima,additem('lore_fall_of_wyzima')
lore_summit_of_loc_muinne,additem('lore_summit_of_loc_muinne')
lore_redania,additem('lore_redania')
lore_radovids_rise_to_power,additem('lore_radovids_rise_to_power')
lore_redanian_secret_service,additem('lore_redanian_secret_service')
lore_kovir,additem('lore_kovir')
lore_basics_of_magic,additem('lore_basics_of_magic')
lore_principles_of_eternal_fire,additem('lore_principles_of_eternal_fire')
lore_cult_of_freyia,additem('lore_cult_of_freyia')
lore_cult_of_hemdall,additem('lore_cult_of_hemdall')
lore_druids,additem('lore_druids')
lore_witchers,additem('lore_witchers')
lore_monstrum,additem('lore_monstrum')
lore_radovid_propaganda_pamphlet,additem('lore_radovid_propaganda_pamphlet')
lore_the_great_four,additem('lore_the_great_four')
lore_wild_hunt,additem('lore_wild_hunt')
lore_non_humans,additem('lore_non_humans')
lore_prophecy_of_ithlinne,additem('lore_prophecy_of_ithlinne')
lore_conjunction_of_spheres,additem('lore_conjunction_of_spheres')
lore_theory_of_spheres,additem('lore_theory_of_spheres')
lore_elder_blood,additem('lore_elder_blood')
lore_an_seidhe_and_aen_elle,additem('lore_an_seidhe_and_aen_elle')
lore_cirilla_of_cintra,additem('lore_cirilla_of_cintra')
lore_elven_sages,additem('lore_elven_sages')
lore_elven_ruins,additem('lore_elven_ruins')
lore_elven_legends,additem('lore_elven_legends')
lore_witch_hunters,additem('lore_witch_hunters')
lore_goetia,additem('lore_goetia')
lore_oneiromancy,additem('lore_oneiromancy')
lore_hydromancy,additem('lore_hydromancy')
lore_necromancy,additem('lore_necromancy')
lore_tyromancy,additem('lore_tyromancy')
lore_war_between_astrals,additem('lore_war_between_astrals')
lore_witcher_signs,additem('lore_witcher_signs')
lore_last_wish,additem('lore_last_wish')
lore_bells_of_beauclair,additem('lore_bells_of_beauclair')
lore_sands_of_zerrikania,additem('lore_sands_of_zerrikania')
lore_naglfar_demonic_drakkar,additem('lore_naglfar_demonic_drakkar')
lore_ragnarok,additem('lore_ragnarok')
lore_study_on_white_cold,additem('lore_study_on_white_cold')
Beauclair White,additem('Beauclair White')
Cherry Cordial,additem('Cherry Cordial')
Mandrake cordial,additem('Mandrake cordial')
Mettina Rose,additem('Mettina Rose')
Nilfgaardian Lemon,additem('Nilfgaardian Lemon')
